Domain,Zone,Region,Branch Name,Branch Code,No_of_Samity,No_of_Members,No_of_Borrower,SEP_2025_ Month_Loan,Loan_Outstanding_Principal,Loan_Service_Charge,Total_Outstanding,Overdue_Principal,Overdue_Service_Charge,Total_Overdue,GS,SS,TSS,TDMB,Total_Savings_Balance
OP Domain Natore,Pabna Zone,Iswardi Region,Iswardi-1,0252,117,2242,1807,9421000,63780598,8913254,72693852,7877280,1032569,8909849,19366572,3557113,6556500,3900000,33380185
OP Domain Dinajpur,Panchogor Zone,Debigonj Region,Domer,0253,120,2493,2223,8758000,63277129,8300027,71577156,8943810,1188115,10131925,17028145,2752641,5945000,2375000,28100786
OP Domain Bogra,Bogra North Zone,Baluahat Region,Mohimagonj,0254,128,2814,2484,12079000,93240811,12748132,105988943,11822851,1608444,13431295,41008896,3892971,11449800,19965000,76316667
OP Domain Rangpur,Kurigram Zone,Bhurungamari Region,Kasimbazar,0255,138,2878,2514,13620000,86298725,11236976,97535701,9414329,1216756,10631085,20515023,6873769,8384900,915000,36688692
OP Domain Bogra,Joypurhat Zone,Kalai Region,Punat,0256,121,2589,1909,11865000,75602105,7585951,83188056,6293029,740869,7033898,18639692,2369135,3710200,2645000,27364027
OP Domain Rangpur,Kurigram Zone,Bhurungamari Region,Ramkhana,0257,136,2430,1818,10682000,74548166,9541187,84089353,10970301,1408201,12378502,18468341,5555601,8991024,2040000,35054966
OP Domain Sylhet,Moulvibazar Zone,Moulvibazar Region,Rajnagar-1,0258,129,2229,1874,16080000,105028136,13938933,118967069,6608319,889927,7498246,31774335,7523513,5227000,5315000,49839848
OP Domain Sylhet,Moulvibazar Zone,Komolganj Region,Komolganj-1,0259,104,1941,1618,12855000,83692185,11093934,94786119,4229107,554650,4783757,27733056,4910282,8819200,4615000,46077538
OP Domain Sylhet,Moulvibazar Zone,Moulvibazar Region,Sherpur-3,0260,94,1635,1467,12890000,73966972,9745040,83712012,3491773,463551,3955324,24050302,6300485,7077500,3525000,40953287
OP Domain Sylhet,Hobigonj Zone,Hobigonj Region,Bahubal-1,0261,83,1355,1183,9533000,57740223,7762577,65502800,3461622,486290,3947912,14555230,4609990,3986800,450000,23602020
OP Domain Rangpur,Kurigram Zone,Kurigram Region,Pateswari,0262,144,2853,2627,11488000,82643340,10683819,93327159,19058201,2491729,21549930,21130810,3217123,6718800,2275000,33341733
OP Domain Rajshahi,Naogaon Zone,Manda Region,Boiddapur,0263,104,2314,2063,10915000,65881292,8610579,74491871,5892481,760491,6652972,17398406,2878435,7136200,2300000,29713041
OP Domain Rajshahi,Naogaon Zone,Manda Region,Sabaihat,0264,107,2494,2025,10850000,67240555,8431979,75672534,8938389,1127851,10066240,18198502,2722015,5932800,10915000,37768317
OP Domain Rajshahi,Rajshahi Zone,Mohonpur Region,MOCHMOIL,0265,117,2500,1807,9732000,69205100,8716302,77921402,8390695,1002330,9393025,21915838,2571060,5924800,7095000,37506698
OP Domain Dinajpur,Syedpur Zone,Nilfamari Region,Jaldhaka,0266,137,2881,2659,13630000,85217776,11051964,96269740,8645681,1113946,9759627,24225787,4107806,4852200,2625000,35810793
OP Domain Rangpur,Rangpur Zone,Modern Region,DHAP,0267,143,3005,2739,12874000,83064885,11066927,94131812,15272289,2191448,17463737,30650192,5601165,3407100,15375000,55033457
OP Domain Rangpur,Kurigram Zone,Ulipur Region,Nazimkha,0268,120,2478,2084,11575000,68017558,8830754,76848312,7723332,1017093,8740425,23255582,3924529,8867700,4055000,40102811
OP Domain Rangpur,Kurigram Zone,Ulipur Region,Ulipur,0269,178,3438,2873,15575000,94311119,12148813,106459932,12310015,1585484,13895499,33318543,4689595,8630700,4960000,51598838
OP Domain Bogra,Joypurhat Zone,Kalai Region,Molamgari,0270,142,3303,2327,15405000,98438815,10522258,108961073,4444667,674543,5119210,31887568,4781998,8555700,3380000,48605266
OP Domain Rangpur,Lalmonirhat Zone,Hatibandha Region,Hatibandha-2,0271,128,2741,2238,12315000,79703396,10200417,89903813,9821765,1281705,11103470,21514206,4192681,4896400,3140000,33743287
OP Domain Rangpur,Gaibandha Zone,Sundarganj Region,Shovaganj,0272,94,1942,1687,11942000,69024903,9184722,78209625,4546577,598003,5144580,19950169,4410775,8875100,1750000,34986044
OP Domain Rajshahi,Chapainobabgonj Zone,Shibganj Region-2,Volahat,0273,117,2525,2112,14501000,75920040,8752179,84672219,4015735,517433,4533168,20319819,4005058,3449600,3135000,30909477
OP Domain Rangpur,Rangpur Zone,Modern Region,PAIRABAND,0274,144,3166,2789,17370000,105484972,13993805,119478778,11764163,1540936,13305099,25287028,6704001,7010900,2910000,41911929
OP Domain Bogra,Sirajganj Zone,Kamarkhanda Region,KAMARKHANDA,0275,114,1981,1584,8680000,59483078,8424266,67907344,8690736,1224239,9914975,16241754,4499422,8408700,6420000,35569876
OP Domain Mymensingh,Gazipur Zone,Sreepur Region,Sreepur-1,0276,114,1521,1334,11590000,79131177,12524925,91656103,8883003,1529573,10412576,17122066,5243225,5299200,670000,28334491
OP Domain Mymensingh,Gazipur Zone,Sreepur Region,Bhawal Mirzapur,0277,175,1796,1552,14160000,104183399,17720682,121904081,12079985,2119478,14199463,22402901,5913802,10351600,775000,39443303
OP Domain Dhaka,Dhaka South Zone,Narayanganj Region,Pagla Bazar,0278,126,3030,2571,9150000,84519971,11231778,95751749,10620834,1382399,12003233,25974973,7600876,3170201,115000,36861050
OP Domain Dhaka,Dhaka North Zone,Cheragali Region,Board bazar,0279,85,1732,1611,14720000,85517773,12060424,97578198,10494874,1670342,12165216,15799381,4255119,2913900,320000,23288400
OP Domain Dhaka,Dhamrai Zone,Kashimpur Region,Ziranee,0280,123,2387,2158,11630000,82034636,11605349,93639985,11145304,1677277,12822581,21217012,6200686,10450200,1455000,39322898
OP Domain Dhaka,Dhamrai Zone,Kashimpur Region,Kashimpur,0281,91,1416,1166,8460000,62370024,9316938,71686962,6770484,1012704,7783188,15538429,4992011,7833500,880000,29243940
OP Domain Dhaka,Narsingdi Zone,Madhobdi Region,MADHOBDI,0282,125,2783,2430,16100000,103253596,13465398,116718994,16474726,2105255,18579981,31798265,5983791,2746400,1090000,41618456
OP Domain Dhaka,Dhaka South Zone,Modonpur-1 Region,Tarabo,0283,110,2807,2584,14980000,95553940,12509612,108063552,12880599,1650825,14531424,21314964,6045847,4385820,2390000,34136631
OP Domain Rajshahi,Chapainobabgonj Zone,Chapainawabganj Region,Mondomala,0284,83,1947,1657,9459000,59153124,6740179,65893303,8004878,1050538,9055416,13034783,2716661,2842700,825000,19419144
OP Domain Sylhet,Beanibazar Zone,Gowainghat Region,Darbosto,0285,104,2422,2064,19545000,111528378,15009727,126538105,3694927,502237,4197164,30986576,11026501,10452500,3025000,55490577
OP Domain Sylhet,Sylhet Zone,Sylhet Region,Companiganj-1,0286,148,2362,1894,13885000,83513123,11066274,94579397,2533064,339216,2872280,23246340,9821702,10514185,350000,43932227
OP Domain Sylhet,Beanibazar Zone,Beanibazar Region,Beanibazar-2,0287,144,2437,1982,15925000,101217522,13562818,114780340,8445012,1119074,9564086,25920473,8212000,6941500,125000,41198973
OP Domain Sylhet,Beanibazar Zone,Juri Region,Barlekha-1,0288,82,1316,1094,11775000,61081052,8257115,69338167,2165379,343877,2509256,16738472,5524266,9819300,560000,32642038
OP Domain Dhaka,Narsingdi Zone,Hasnabad Region,GHORADIA,0289,130,2414,2177,16440000,108026514,14443791,122470305,15156727,1966955,17123682,24503839,7414540,6538900,3800000,42257279
OP Domain Sylhet,Moulvibazar Zone,Moulvibazar Region,Rajnagar Munshibazar,0290,141,1959,1682,20965000,110980082,14867810,125847892,2465963,323176,2789139,34725064,8019543,12414600,8685000,63844207
OP Domain Dinajpur,Panchogor Zone,Boda Region,Boda,0291,122,2319,2063,10419000,67201343,8899958,76101301,11362649,1571017,12933666,21262468,2610458,6582700,2575000,33030626
OP Domain Dinajpur,Thakurgaon Zone,Thakurgaon Region,Goreahat,0292,115,2405,2233,10236000,62008457,8201386,70209843,10978331,1486101,12464432,14884012,1854411,4365608,320000,21424031
OP Domain Bogra,Bogra Central Zone,Dupchachiya Region,Talora,0293,108,1899,1537,9515000,64279888,8099194,72379082,7888173,1000460,8888633,35841758,3368641,6692600,16770000,62672999
OP Domain Dinajpur,Panchogor Zone,Boda Region,Ruhia,0294,121,2335,2116,10859000,66526106,8755849,75281955,9415225,1234119,10649344,18534730,2378514,4447450,2475000,27835694
OP Domain Rangpur,Gaibandha Zone,Saghata Region,Barokona,0295,96,2021,1500,9455000,62038764,8663570,70702334,11035751,1556527,12592278,15890702,3329023,8737200,1025000,28981925
OP Domain Bogra,Bogra South Zone,Dhunat Region,Sonamukhi,0296,105,2607,2032,10976000,70935918,9675643,80611561,10013165,1405758,11418923,28107542,2359097.3,7967700,11675000,50109339.3
OP Domain Rangpur,Lalmonirhat Zone,Kaliganj Region 2,Chaklarhat,0297,147,3613,2824,15917000,95729492,12621259,108350751,8329588,1132720,9462308,34181068,5180727,8858500,7850000,56070295
OP Domain Rajshahi,Chapainobabgonj Zone,Shibganj Region-2,Barogachhi,0298,95,1523,1213,10016000,49469868,5258419,54728287,1143962,145967,1289929,16002740,2290249,3225650,2250000,23768639
OP Domain Rajshahi,Chapainobabgonj Zone,Gomastapur Region,Mollikpur,0299,75,1537,1388,8813000,49338218,6201658,55539876,3573510,481006,4054516,14048164,2197484,2727600,1225000,20198248
OP Domain Rangpur,Polashbari Zone,Polashbari Region,Gobindogonj-2,0300,102,2022,1553,10725000,71763850,9782951,81546801,10166331,1512928,11679259,25928648,3059472,10709800,20695000,60392920
OP Domain Rangpur,Rangpur Zone,Modern Region,HARAGACHA,0301,83,1850,1448,9930000,61773045,8415640,70188685,3215388,422190,3637578,21495440,3652626,8308600,3720000,37176666
OP Domain Dinajpur,Panchogor Zone,Boda Region,Panchagarh-1,0302,128,2831,2592,12924000,78845115,10377149,89222264,8345356,1114067,9459423,23079113,3074166,5247700,1035000,32435979
OP Domain Dinajpur,Syedpur Zone,Bodorgonj Region,Taraganj,0303,123,2565,2344,14575000,83311892,10975774,94287666,7795696,1016734,8812430,27381824,4196140,6658000,6970000,45205964
OP Domain Bogra,Bogra Central Zone,Dupchachiya Region,Jianagor,0304,86,1455,1186,5765000,45131501,5444329,50575830,5862368,742679,6605047,14687695,3332152,6256100,3270000,27545947
OP Domain Dinajpur,Syedpur Zone,Nilfamari Region,Kishoreganj-1,0305,128,2700,2461,13975000,83724665,10918188,94642853,5291548,696781,5988329,27491754,6539379,7592600,6975000,48598733
OP Domain Natore,Natore Zone,Najirpur Region,Kasikata,0306,121,1907,1521,8304000,53166526,7570302,60736828,6175607,851745,7027352,13879107,2481240,9188100,7950000,33498447
OP Domain Natore,Natore Zone,Najirpur Region,Najirpur-1,0307,124,1997,1552,10297000,61875686,8850943,70726629,5125078,746031,5871109,15078446,3477324,7605600,11350000,37511370
OP Domain Natore,Natore Zone,Najirpur Region,Hatiandaha,0308,120,1757,1490,7762000,56982000,8005099,64987099,8330616,1097827,9428443,17889162,2265531,5468700,4805000,30428393
OP Domain Chittagaon,Feni Zone,Feni Region,Sagolnaiya,0309,100,1616,1328,10070000,68194655,9504840,77699495,8038050,1051182,9089232,14622291,4857442,6545300,795000,26820033
OP Domain Natore,Chatmohor Zone,Bonpara Region,Zonail,0310,103,1858,1622,8786000,56676024,7728829,64404854,8395175,1169295,9564470,23823124,2843328,3461500,4075000,34202952
OP Domain Natore,Chatmohor Zone,Bhangura Region,AUSTOMONISA,0311,89,1752,1360,7682000,47992956,6470291,54463247,6558332,878286,7436618,34530972,2404497,10518800,35635000,83089269
OP Domain Bogra,Sirajganj Zone,Kamarkhanda Region,Bhadraghat,0312,109,2204,1797,9216000,62672018,8526455,71198473,6317946,886126,7204072,26362971,3312637,6277000,12230000,48182608
OP Domain Khulna,Khulna Zone,Bagerhat Region,KATAKHALI-2,0313,106,2100,1983,6520000,58117780,8342399,66460179,25176652,3918586,29095238,9749491,1714283,1546200,330000,13339974
OP Domain Comilla,Comilla Zone,Bagmara Region,Barura-1,0314,112,1491,1326,16545000,99993322,14476680,114470002,9229836,1311296,10541132,19277906,6378138,3987300,3740000,33383344
OP Domain Comilla,Comilla Zone,Choddogram Region,MIA BAZAR,0315,98,1886,1614,15075000,103330866,14696880,118027746,11352835,1510240,12863075,19520352,7748026,6457200,1120000,34845578
OP Domain Chittagaon,Feni Zone,Gunoboti Region,Gunabati,0316,128,2047,1538,16580000,101329997,14794307,116124304,7130043,943853,8073896,24977493,7778685,10790700,4185000,47731878
OP Domain Comilla,Comilla Zone,Comilla Region,Burichang,0317,112,1550,1369,13355000,91947286,12586108,104533395,12102108,1629914,13732022,18772368,6401692,6793600,4805000,36772660
OP Domain Chittagaon,Feni Zone,Feni Region,Fulgazi,0318,99,1158,927,9080000,55490974,8593028,64084002,4030505,548258,4578763,10522285,3878692,4495800,880000,19776777
OP Domain Bogra,Sirajganj Zone,Ullapara Region,Talgachhi,0319,99,1516,1213,5715000,37932086,5055478,42987564,6279070,822715,7101785,9816560,1420766,5319100,4605000,21161426
OP Domain Chittagaon,Feni Zone,Feni Region,Parsuram,0320,87,1235,1038,8676000,52580183,7363950,59944133,5484334,722092,6206426,14271672,3788369,3218400,1825000,23103441
OP Domain Natore,Chatmohor Zone,Bhangura Region,Faridpur-1,0321,112,2286,1801,10328000,65850894,9193619,75044513,4497881,587277,5085158,27232800,5102938,10805100,12880000,56020838
OP Domain Natore,Puthia Zone,Puthia Region,Mollapara,0322,106,2214,1679,8805000,58058414,7681737,65740151,4446257,595178,5041435,25691477,4495555,9902900,10140000,50229932
OP Domain Natore,Natore Zone,Natore Region,Natore-2,0323,138,2593,2294,12788000,81701664,11598991,93300655,13231019,1792677,15023696,20414555,4093272,9206600,7135000,40849427
OP Domain Khulna,Khulna Zone,Khulna Region,Sonadanga,0324,105,2120,1994,9550000,65726304,8829625,74555929,14084424,2006400,16090824,16919832,4372645,3923600,2565000,27781077
OP Domain Khulna,Khulna Zone,Khulna Region,Boyra,0325,111,2132,1931,9550000,66924775,9193592,76118367,12888630,1802960,14691590,16253851,3009179,4966900,1240000,25469930
OP Domain Khulna,Khulna Zone,Bagerhat Region,Rupsa,0326,95,2014,1869,8185000,67173086,9202656,76375742,23431393,3383783,26815176,12075252,2390688,2269000,1265000,17999940
OP Domain Khulna,Khulna Zone,Bagerhat Region,Bagerhat,0327,119,2233,2076,8545000,73206640,10982235,84188875,22504044,3977729,26481773,15503165,2555484,3137000,1015000,22210649
OP Domain Khulna,Khulna Zone,Doulatpur Region,Daulatpur-2,0328,111,1999,1850,9090000,58927047,7942040,66869087,9792996,1444238,11237234,20824929,2281607,2752000,1980000,27838536
OP Domain Khulna,Jessore Zone,Nowapara Region,Fultala,0329,109,1720,1488,4601000,37911117,4954170,42865287,12884207,1671352,14555559,9905280,1179501,736800,950000,12771581
OP Domain Khulna,Khulna Zone,Doulatpur Region,Fulbarigate,0330,104,1980,1814,7775000,62179871,9231154,71411025,19320648,3561920,22882568,13463424,1992405,2775800,1200000,19431629
OP Domain Khulna,Satkhira Zone,Kaliganj Region,Shatkhira,0331,125,2148,1862,10970000,70409715,9778896,80188611,15078142,2271770,17349912,16510813,2093543,4452200,745000,23801556
OP Domain Chittagaon,Feni Zone,Dagonbuyan Region,Dagonbhuya,0332,85,1173,926,9070000,60702626,8508302,69210927,7416141,985740,8401881,11586103,5511582,4958400,1645000,23701085
OP Domain Rangpur,Rangpur Zone,Modern Region,Nataram,0333,139,3020,2727,15604000,92291983,12187273,104479256,8731056,1135714,9866770,22434355,3524117,5111400,125000,31194872
OP Domain Natore,Puthia Zone,Puthia Region,Durgapur-4,0334,105,2101,1548,9242000,61928935,9044482,70973417,7670882,1034190,8705072,10177543,3291087,3805400,3280000,20554030
OP Domain Rangpur,Rangpur Zone,Damurchakla Region,Damurchakla,0335,118,2255,1822,10063000,63859486,8564249,72423735,9273327,1218740,10492067,20056492,3321337,5906400,9020000,38304229
OP Domain Khulna,Kushtia Zone,CHUADANGA REGION,Chuadanga,0336,119,2148,2020,10315000,66229048,8748739,74977787,13989572,1851912,15841484,15309873,2312835,2666000,1075000,21363708
OP Domain Khulna,Jessore Zone,Jhenidaha Region,Jhenaidah,0337,123,2064,1912,6926000,52937534,7016811,59954345,17216612,2342664,19559276,13239113,2066865,1578720,0,16884698
OP Domain Khulna,Jessore Zone,Jhenidaha Region,Magura,0338,113,2321,2202,8432000,61664176,8136663,69800839,18676514,2494330,21170844,11856950,1748582,2146400,325000,16076932
OP Domain Khulna,Jessore Zone,Nowapara Region,Narail,0339,113,1775,1659,8955000,61234148,8255683,69489831,12707590,1823405,14530995,14668382,2368953,3322000,750000,21109335
OP Domain Barisal,Faridpur Zone,Faridpur Region,Faridpur-2,0340,115,1686,1516,9280000,60148776,8205858,68354634,10843400,1435056,12278456,16778153,3359382,4660700,3325000,28123235
OP Domain Khulna,Kushtia Zone,RAJBARI REGION,Razbari,0341,126,2111,1824,10940000,69779655,9298450,79078105,13847392,1880334,15727726,18915418,2721020,3140500,3270000,28046938
OP Domain Rangpur,Kurigram Zone,Kurigram Region,Borobari,0342,131,2417,2125,12496000,70208920,9252301,79461221,10004893,1299377,11304270,20143562,3821104,5443800,5350000,34758466
OP Domain Rajshahi,Rajshahi Zone,Rajshahi Region,Rajshahi-2,0343,52,1223,854,10085000,60764719,8889876,69654595,7600377,1063494,8663871,20208829,2286308,3863700,3550000,29908837
OP Domain Khulna,Khulna Zone,Khulna Region,Gollamari,0344,100,2203,1998,11160000,69043097,9372166,78415264,12718989,1848649,14567637,16333522,3499769,3326900,2680000,25840191
OP Domain Natore,Pabna Zone,Iswardi Region,Iswardi-2,0345,97,1914,1604,9416000,65455302,9340051,74795353,9971497,1324273,11295770,14574216,3220518,4547500,635000,22977234
OP Domain Rangpur,Rangpur Zone,Rangpur Region,Rangpur Sadar,0346,85,1660,1465,9190000,59941973,8138113,68080086,10495204,1499433,11994637,14790987,3572347,2729900,290000,21383234
OP Domain Rajshahi,Najipur Zone,Badalgachi Region,Goborchapa,0347,127,2253,1734,9747000,63576865,7890390,71467255,6933438,901024,7834462,25518267,3423695,7836800,2580000,39358762
OP Domain Dhaka,Narsingdi Zone,Madhobdi Region,RUPGANJ,0348,154,2929,2568,21840000,123679025,17574843,141253869,8189172,1058551,9247723,33591952,9310898,7776800,3275000,53954650
OP Domain Comilla,Comilla Zone,Bagmara Region,Bagmara,0349,121,1490,1315,15810000,98107437,13706994,111814431,12337116,1661514,13998630,24082021,7436490,5290500,400000,37209011
OP Domain Rangpur,Gaibandha Zone,Saghata Region,Ullahvaratkhali,0350,114,2532,1957,11308000,69518419,9114789,78633208,8206625,1061818,9268443,20626748,4164841,13711850,3915000,42418439
OP Domain Rangpur,Rangpur Zone,Damurchakla Region,Annadanagar,0351,93,1892,1502,8585000,57829752,7656807,65486559,7436851,998939,8435790,28840776,2305932,10204100,8440000,49790808
OP Domain Rangpur,Polashbari Zone,Mithapukur Region,Pirganj-1,0352,116,2142,2004,9153000,59725128,7981174,67706303,11755825,1595718,13351543,15428561,2518351,5343000,8415000,31704912
OP Domain Rangpur,Gaibandha Zone,Saghata Region,Nakaihat,0353,121,2582,1878,9740000,70275362,9524802,79800164,8488548,1175191,9663739,23943691,3379743,7080700,8195000,42599134
OP Domain Bogra,Sirajganj Zone,Nimgachhi Region,Tarash,0354,103,2198,2003,11205000,75607534,9995426,85602960,14188458,1843618,16032077,16825177,2664233,3691400,2530000,25710810
OP Domain Khulna,Kushtia Zone,Alamdanga Region,Meherpur,0355,116,2128,1834,9920000,70612823,9272654,79885477,15084325,1951453,17035778,15102435,2456238,2433400,1035000,21027073
OP Domain Khulna,Satkhira Zone,Navaran Region,Benapol,0356,126,2486,2054,11015000,68173239,8972787,77146026,7399259,965596,8364855,16147783,2995026,3011200,2605000,24759009
OP Domain Chittagaon,Chittagong South Zone,Chandgaon Region,Nowapara-2,0357,84,1586,1453,12970000,81674034,11100427,92774461,7344292,985279,8329571,12294110,8635897,6425200,2765000,30120207
OP Domain Khulna,Kushtia Zone,KUSHTIA REGION,Kustia-1,0358,132,2151,2037,9220000,62073322,8122214,70195536,12496585,1624316,14120901,15893928,1803037,3097700,925000,21719665
OP Domain Bogra,Bogra South Zone,Gohail Region,Vatra,0359,99,1972,1698,8695000,53383377,6827843,60211220,8327582,1075030,9402612,17642939,1726698,4202200,5570000,29141837
OP Domain Natore,Chatmohor Zone,Bhangura Region,Demra-2,0360,133,2786,2126,11089000,68095850,9059034,77154884,6863039,890548,7753587,24646971,4096714,11460400,4940000,45144085
OP Domain Rangpur,Polashbari Zone,Mithapukur Region,Shatibari,0361,127,2236,1959,9984000,66081415,8680074,74761489,10701981,1373320,12075301,17885327,3126176,4435600,1175000,26622103
OP Domain Rangpur,Polashbari Zone,Polashbari Region,Dhaperhat,0362,117,2498,2124,11827000,72304437,9461898,81766335,9821214,1291934,11113148,17434258,3480497,5098300,3395000,29408055
OP Domain Rangpur,Rangpur Zone,Damurchakla Region,Kaunia,0363,111,2025,1605,8785000,63110999,8505354,71616354,12761420,1778853,14540273,25059153,3756616,7438200,5015000,41268969
OP Domain Rajshahi,Chapainobabgonj Zone,Gomastapur Region,Gomostapur,0364,87,2116,1819,12322000,69437291,8374698,77811989,3079275,387347,3466622,18408188,3688865,5170000,6400000,33667053
OP Domain Rajshahi,Chapainobabgonj Zone,Gomastapur Region,Nachol,0365,111,2454,2110,12796000,72789394,8304232,81093626,4764204,579462,5343666,17599667,3398776,2929900,475000,24403343
OP Domain Rangpur,Lalmonirhat Zone,Lalmonirhat Region,Valabari,0366,142,2891,2562,13337000,78734831,10247735,88982566,7690162,1003396,8693558,24539362,4024404,5169200,1100000,34832966
OP Domain Natore,Natore Zone,Walia Region,Walia,0367,104,2087,1620,7786000,56509263,7803772,64313036,10540047,1486869,12026916,20977586,2728036,11057500,8085000,42848122
OP Domain Dinajpur,Thakurgaon Zone,Birgonj Region,Setabganj,0368,114,2366,2212,12781000,72454187,9458442,81912629,9741848,1281276,11023124,18214031,2417203,4999400,4100000,29730634
OP Domain Dinajpur,Syedpur Zone,Syedpur Region,Saidpur-3,0369,129,1492,1424,8660000,58162168,7769510,65931678,10102691,1434557,11537248,12691368,2361219,3990900,5070000,24113487
OP Domain Rajshahi,Naogaon Zone,Naogaon Region,Naogaon-2,0370,61,1373,1215,6980000,55625993,8010029,63636022,14671096,1972819,16643915,13234887,1741295,2880300,1100000,18956482
OP Domain Natore,Natore Zone,Walia Region,Abdulpur,0371,140,2555,1993,12040000,75212026,10359624,85571650,9934028,1398171,11332199,34003987,4662494,17069500,22735000,78470981
OP Domain Dinajpur,Panchogor Zone,Panchogor Region,Zagdal,0372,90,2280,2110,9608000,61091588,8039830,69131418,11818351,1539411,13357762,15888965,2123074,2049300,390000,20451339
OP Domain Dinajpur,Panchogor Zone,Boda Region,Vulli,0373,121,2760,2503,13227000,79167700,10396118,89563818,10903011,1434879,12337890,21306724,2852810,7175900,1915000,33250434
OP Domain Khulna,Jessore Zone,Jhenidaha Region,Kaliganj-3,0374,101,1907,1688,6200000,43834634,5738855,49573489,13897431,1806052,15703483,8170242,1417974,1261000,75000,10924216
OP Domain Dinajpur,Dinajpur Zone,Dinajpur Region,Dinajpur-2,0375,48,1239,1137,13920000,92770601,12781156,105551757,11996404,1702227,13698631,33584620,4418982,12633600,6015000,56652202
OP Domain Dhaka,Dhaka North Zone,Kalshi Region,Rupnagor,0376,59,1331,1223,8260000,58424472,8433396,66857868,9810211,1398393,11208604,14376012,7233903,3644600,4020000,29274515
OP Domain Dhaka,Dhaka North Zone,Kalyanpur Region,Mohammadpur,0377,122,2810,2576,14910000,104325539,13807205,118132745,9545290,1210423,10755713,25061277,11673409,4273400,1320000,42328086
OP Domain Mymensingh,Gazipur Zone,Kapasia Region,Kapasia,0378,126,1249,1091,8020000,54329638,7404710,61734348,10427885,1383490,11811375,15233233,3048693,3853600,1775000,23910526
OP Domain Dhaka,Narsingdi Zone,Belabo Region,BELABO,0379,135,2449,2072,13700000,88908974,11836874,100745848,12117291,1587906,13705197,25612683,6436387,5924101,4945000,42918171
OP Domain Dhaka,Narsingdi Zone,Belabo Region,NARAYANPUR,0380,128,2171,1569,11290000,75560005,10204860,85764866,7910436,1038079,8948515,17920828,8782300,4255000,3900000,34858128
OP Domain Sylhet,Moulvibazar Zone,Moulvibazar Region,Moulvibazar Sadar,0381,114,2056,1713,15421000,92543601,12185141,104728742,8071820,1070110,9141930,27527263,7886977,10238600,3100000,48752840
OP Domain Dhaka,Dhaka South Zone,Ruhitpur Region,Nawabganj,0382,121,1688,1214,8380000,66494654,9669143,76163797,17653130,2484447,20137577,16766644,3671999,4122400,2935000,27496043
OP Domain Bogra,Joypurhat Zone,Joypurhat Region,Joypurhat-2,0383,67,1716,1365,8846000,62855556,8732807,71588363,11098853,1534949,12633802,20248541,1910493,1897051,7825000,31881085
OP Domain Khulna,Kushtia Zone,KUSHTIA REGION,Kustia-2,0384,107,2010,1770,7365000,55476756,7261967,62738723,11246457,1470099,12716556,14047414,2086206,2761900,1200000,20095520
OP Domain Natore,Pabna Zone,Pabna Region,Pabna-2,0385,109,1654,1410,10245000,65157746,8923364,74081110,13631338,1794624,15425962,12521854,1790338,3624800,1520000,19456992
OP Domain Dinajpur,Thakurgaon Zone,Thakurgaon Region,Thakurgaon-2,0386,65,1064,964,12608000,72514042,9738341,82252383,11345514,1548872,12894386,16244514,2469040,6700000,3010000,28423554
OP Domain Rajshahi,Rajshahi Zone,Coart Region,Razabari,0387,104,2128,1584,8854000,56865932,8018770,64884702,4132841,513326,4646167,17763066,3109943,4906200,3700000,29479209
OP Domain Bogra,Sirajganj Zone,Sirajgonj Region,Sirajganj-2,0388,65,1548,1329,9175000,57345911,8671226,66017136,8586504,1221862,9808366,22073861,2488768,4005500,2280000,30848129
OP Domain Dinajpur,Panchogor Zone,Panchogor Region,Panchagarh-2,0389,62,1240,1144,10570000,65888625,8851890,74740515,9350501,1285010,10635511,16635026,2056846,3749300,1980000,24421172
OP Domain Rangpur,Gaibandha Zone,Gaibandha Region,Gaibandha-2,0390,122,2048,1763,13510000,95328097,12850690,108178787,14115734,1995517,16111251,24162810,4563086,9500000,1330000,39555896
OP Domain Dhaka,Dhaka South Zone,Ruhitpur Region,Joypara,0391,109,1941,1482,10390000,82599949,11163196,93763145,15718149,2102442,17820591,23359193,5563212,5631000,2750000,37303405
OP Domain Rangpur,Polashbari Zone,Mithapukur Region,Vendabari,0392,103,1980,1859,10267000,59998475,7991589,67990064,7543638,1014870,8558508,13963826,2048748,4733500,1825000,22571074
OP Domain Rangpur,Kurigram Zone,Kurigram Region,Kurigram-2,0393,143,3143,2870,12873000,88238116,11409244,99647360,16266171,2162347,18428518,24081803,4251582,6503800,3800000,38637185
OP Domain Rajshahi,Rajshahi Zone,Mohonpur Region,Mougachhi,0394,125,2798,2286,12565000,78669985,10265990,88935976,9623322,1271017,10894339,17658504,2055218,1660700,645000,22019422
OP Domain Rajshahi,Najipur Zone,Najipur Region,Rangamati,0395,126,2641,2090,8642000,90330933,7384077,97715010,721500,28553,750053,25609730,6629512,16759600,1590000,50588842
OP Domain Chittagaon,Chittagong South Zone,Chandgaon Region,Baluchara,0396,115,2237,2081,14210000,91788902,12328711,104117613,9116787,1217677,10334464,21317022,10221491,10031200,2470000,44039713
OP Domain Chittagaon,Chittagong North Zone,Mirasorai Region,Baryearhat,0397,108,1904,1594,13455000,86900532,12232090,99132622,8579298,1160627,9739925,17854679,5256614,8856600,3595000,35562893
OP Domain Chittagaon,Chittagong North Zone,Kumira Region,Sitakunda,0398,87,1626,1454,8090000,53315376,6972880,60288256,7732008,1005666,8737674,13445670,2905447,3415600,850000,20616717
